"created_at","text","Label1","Label2"
"Fri Nov 13 19:47:46 +0000 2015","@comcastcares  no it has not.",0,0
"Fri Nov 13 22:13:48 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Sat Nov 14 00:04:05 +0000 2015","@comcastcares about abusing customers and causing them undue heartache and stress! 1 week trying to transfer to new address-IMPOSSIBLE!",1,1
"Fri Nov 13 19:59:49 +0000 2015","@comcastcares I deal with you guys later today. Ok.",0,0
"Fri Nov 13 23:52:22 +0000 2015","#xfinity has been down all day. @Comcast where is the fix?",1,1
"Fri Nov 13 21:30:52 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 21:43:22 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 19:22:21 +0000 2015","@JohnLegere @verizon @DavidGoldmanCNN # Verizon sucks! They see clients as paying devices, not people. Their biz model is Lie, Cheat &amp; Steal",1,0
"Sat Nov 14 01:26:39 +0000 2015","@ATTCares doubtful. I've done this merry go round with u guys for the last 3mo, and each time I'm told one thing bill says another",1,1
"Fri Nov 13 23:04:40 +0000 2015","You guys have been lagging so bad on the internet connection... Y'all suck! @ATT @Uverse",1,1
"Fri Nov 13 20:47:43 +0000 2015","#hulu is open for programmatic advertising: https://t.co/WwFyRvt9a9 https://t.co/UFUiE7wN27 #ad #advertising #adweek #marketing",0,0
"Sat Nov 14 00:18:57 +0000 2015","Really @comcast?  6 channels of USA game and zero of the Brazil game?",1,1
"Fri Nov 13 19:34:42 +0000 2015","#Verizon #Tablet – Verizon Launches Ellipsis 10 Tablet: Quad-Core Chip, LTE Support, Android 5.1 Lollipop… https://t.co/LrLzOvajiB #Android",0,0
"Fri Nov 13 20:47:41 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/wZx6fhHjrX",0,0
"Sat Nov 14 01:13:32 +0000 2015","Breeze Bike Share Launches 500 Bikes, 75 Stations https://t.co/LeUxHuZmZF #santamonica #bikeshare #hulu #bike https://t.co/8Z2MfvjMg7",0,0
"Fri Nov 13 20:31:56 +0000 2015","RT @teenwolf_RT: Our #teenwolf pack demand to @hulu to bring all seasons of teen wolf to the streaming service thanks in advance @hulu_supp…",0,0
"Fri Nov 13 19:52:58 +0000 2015","Want to upgrade or wish to get new service? Come visit us!  We are located at:  5246 14th Street W.  Bradenton, FL 34207 #Tmobile #Bradenton",0,0
"Fri Nov 13 22:48:13 +0000 2015","RT @TheAMAs: Tap ""Bad Blood"" to vote for @taylorswift13 &amp; @kendricklamar for #AMAs Collab of the Year Un-leashed by @TMobile. https://t.co/…",0,0
