"created_at","text"
"Fri Nov 13 19:47:46 +0000 2015","@comcastcares  no it has not."
"Fri Nov 13 22:13:48 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Sat Nov 14 00:04:05 +0000 2015","@comcastcares about abusing customers and causing them undue heartache and stress! 1 week trying to transfer to new address-IMPOSSIBLE!"
"Fri Nov 13 19:59:49 +0000 2015","@comcastcares I deal with you guys later today. Ok."
"Fri Nov 13 23:52:22 +0000 2015","#xfinity has been down all day. @Comcast where is the fix?"
"Fri Nov 13 21:30:52 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 21:43:22 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 19:22:21 +0000 2015","@JohnLegere @verizon @DavidGoldmanCNN # Verizon sucks! They see clients as paying devices, not people. Their biz model is Lie, Cheat &amp; Steal"
"Sat Nov 14 01:26:39 +0000 2015","@ATTCares doubtful. I've done this merry go round with u guys for the last 3mo, and each time I'm told one thing bill says another"
"Fri Nov 13 23:04:40 +0000 2015","You guys have been lagging so bad on the internet connection... Y'all suck! @ATT @Uverse"
"Fri Nov 13 20:47:43 +0000 2015","#hulu is open for programmatic advertising: https://t.co/WwFyRvt9a9 https://t.co/UFUiE7wN27 #ad #advertising #adweek #marketing"
"Sat Nov 14 00:18:57 +0000 2015","Really @comcast?  6 channels of USA game and zero of the Brazil game?"
"Fri Nov 13 19:34:42 +0000 2015","#Verizon #Tablet – Verizon Launches Ellipsis 10 Tablet: Quad-Core Chip, LTE Support, Android 5.1 Lollipop… https://t.co/LrLzOvajiB #Android"
"Fri Nov 13 20:47:41 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/wZx6fhHjrX"
"Sat Nov 14 01:13:32 +0000 2015","Breeze Bike Share Launches 500 Bikes, 75 Stations https://t.co/LeUxHuZmZF #santamonica #bikeshare #hulu #bike https://t.co/8Z2MfvjMg7"
"Fri Nov 13 20:31:56 +0000 2015","RT @teenwolf_RT: Our #teenwolf pack demand to @hulu to bring all seasons of teen wolf to the streaming service thanks in advance @hulu_supp…"
"Fri Nov 13 19:52:58 +0000 2015","Want to upgrade or wish to get new service? Come visit us!  We are located at:  5246 14th Street W.  Bradenton, FL 34207 #Tmobile #Bradenton"
"Fri Nov 13 22:48:13 +0000 2015","RT @TheAMAs: Tap ""Bad Blood"" to vote for @taylorswift13 &amp; @kendricklamar for #AMAs Collab of the Year Un-leashed by @TMobile. https://t.co/…"
"Fri Nov 13 23:43:15 +0000 2015","On Sunday 11/15/2016 watch your shows with unlimited video streaming only @TMobile! #UncarrierX #BingeOn #NErules https://t.co/ryNNNOCzKz"
"Sat Nov 14 00:31:39 +0000 2015","@comcastcares my asshole hurts from how hard @comcast is raping me right now. 3 weeks with no service and rather than fixing it's worse"
"Fri Nov 13 20:25:33 +0000 2015","@ATTCares sure fix the rediculous throttling I get on my unlimited plan. It's unusable. Download is 0.12 and upload is .002. Unusable!!!"
"Fri Nov 13 18:50:35 +0000 2015","@TommyDeweySays I love Casual!! Alex is ??? #hulu #casual"
"Fri Nov 13 21:29:54 +0000 2015","RT @FrancesCatanio: At LAST! cc: my entire family. https://t.co/S0CqvtDEBT"
"Sat Nov 14 00:30:26 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/lm20XHlret"
"Sat Nov 14 01:07:32 +0000 2015","Had to call @ATT to cancel again and ensure they would not return. The install disrupted our DirectTv service. Oh yea - our lawn is f-ed up"
"Fri Nov 13 21:08:35 +0000 2015","Check out @ATT Mobility's CEO talk about the sci-fi future of wearables via @FortuneMagazine https://t.co/p3RZiMwfoO"
"Fri Nov 13 22:17:16 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/b27JRuL7uC"
"Fri Nov 13 20:19:38 +0000 2015","RT @MrPlutofinest: Can I leave with a new phone today @ATT"
"Sat Nov 14 00:05:38 +0000 2015","Verizon Resurrects Activation Fee For Mobile Devices https://t.co/fzSFueKO1F #wirefly #verizon #verizonwireless #activationfees #mobile"
"Sat Nov 14 00:25:09 +0000 2015","Watch @Brittanysnow #cjwilson @ijustine @LilJon @SamRichardson @Zedd @DexterFowler #UncarrierX #TMobile #EventRecap https://t.co/pBD6qLRS7Q"
"Fri Nov 13 20:35:09 +0000 2015","I hate @ATT Y'all can give me a new phone, y'all just dont want to. It's all good theaux. Fuck y'all and this stupid ass contract."
"Fri Nov 13 19:46:18 +0000 2015","#Verizon to charge new $20 activation fee https://t.co/BJzscerJGW"
"Fri Nov 13 23:11:46 +0000 2015","It's #friday !!!!!! Yes #hulu #relax after a productive work week"
"Fri Nov 13 19:38:23 +0000 2015","RT @JohnBert07: @TheZaneSimon Once its complete you need to do a piece on the new gym. #ATT!  https://t.co/izdDnmwBmh"
"Fri Nov 13 20:33:02 +0000 2015","RT @VerizonCareers: #Verizon’s at the @SHPE! Come @ 3-5pm in BCC Hall CDE Booth 2319 &amp; later @ the VZ Hospitality Suite - 7:30-9:30pm in BC…"
"Fri Nov 13 20:33:08 +0000 2015","@RobynsWorld That's what I do with @Dish #VZWBuzz"
"Fri Nov 13 21:58:31 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Sat Nov 14 01:14:15 +0000 2015","RT @HCNewton: So, @dish_answers why didn't I get prior notice when you rescheduled my DSL activation? (or ANY notice?)"
"Fri Nov 13 18:34:51 +0000 2015","I’ve been a fairly happy customer of @comcast until they decided to pull the “60 days notice” for cancellation of my account. #neveragain"
"Fri Nov 13 22:04:34 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 22:40:24 +0000 2015","AT&amp;T College Football Move Strongest Of The Strong Commercial https://t.co/KBWdUJD63D • #ATT #HerschelWalker #BoJack https://t.co/PDk0PWPevP"
"Fri Nov 13 20:43:21 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/OkvCd9hSxB"
